orth,phon,type,Sim 1,,Sim 2 (raw),Sim 2 (sqrt),Sim 3 (RT)
frown,/frWn/,#,0.117182,0.176348,0.137545,1.78,
froze,/frOz/,#,0.004873,0.002524,0.025703,1.77,
fruit,/frUt/,#,0.016853,0.007540,0.021419,1.7,
frump,/fr^mp/,#,0.023705,0.040022,0.016310,1.76,
fry,/frI/,#,0.007097,0.000532,0.005559,1.67,
fuck,/f^k/,#,0.007320,0.002377,0.004182,1.65,
fuel,/fyUl/,#,0.042752,0.013681,0.010567,1.72,
full,/ful/,#,0.025841,0.004291,0.006632,1.6,
fun,/f^n/,#,0.009789,0.003338,0.007258,1.52,
fund,/f^nd/,#,0.011351,0.005128,0.002294,1.57,
funk,/f^Nk/,#,0.004241,0.019269,0.022547,1.57,
fur,/fur/,#,0.032507,0.007360,0.024714,1.5,
fuse,/fyUz/,#,0.310071,0.422680,0.191836,2.06,
fuss,/f^s/,#,0.025719,0.009836,0.019652,1.85,
fuzz,/f^z/,#,0.014124,0.001685,0.006410,1.58,
gab,/g@b/,#,0.027365,0.043885,0.011103,1.86,
gag,/g@g/,#,0.071646,0.005419,0.018121,1.75,
gage,/gAj/,#,0.005370,0.013488,0.012098,1.81,
gain,/gAn/,#,0.017166,0.009211,0.017378,1.69,
gait,/gAt/,#,0.000632,0.001433,0.012474,1.47,
gal,/g@l/,#,0.244185,0.089415,0.130606,2.17,
gale,/gAl/,#,0.046577,0.008651,0.003638,1.76,
gall,/gol/,#,0.017247,0.016816,0.053561,1.8,
game,/gAm/,#,0.026527,0.004151,0.008217,1.63,
gang,/g@N/,#,0.042060,0.010649,0.012409,1.71,
gap,/g@p/,#,0.003312,0.034584,0.013825,1.7,
gape,/gAp/,#,0.018751,0.018767,0.091614,1.75,
garb,/garb/,#,0.036703,0.035908,0.022458,1.83,
gas,/g@s/,#,0.033955,0.007563,0.023185,1.7,
gash,/g@S/,#,0.060455,0.005539,0.008228,1.63,
gasp,/g@sp/,#,0.076504,0.172885,0.030684,1.76,
gate,/gAt/,REG,0.020065,0.001514,0.001366,1.65,
gauche,/gOS/,#,0.203810,0.346584,0.252135,2.3,
gauge,/gAj/,LSTR,0.090641,0.092791,0.065376,1.83,
gaunt,/gont/,#,0.159671,0.212438,0.114753,1.96,
gauze,/goz/,#,0.108563,0.178747,0.070878,2.05,
gave,/gAv/,#,0.033348,0.004454,0.002457,1.72,
gay,/gA/,#,0.031339,0.005237,0.006347,1.59,
gaze,/gAz/,#,0.024831,0.051752,0.015145,1.76,
gear,/gEr/,AMB,0.079836,0.008651,0.034898,1.77,
gee,/jE/,#,0.465198,0.324323,0.265897,1.95,
geese,/gEs/,#,0.531455,0.387128,0.291812,2.16,
gel,/jel/,#,0.446608,0.756103,0.256934,1.87,
gem,/jem/,#,0.128812,0.075549,0.041429,1.59,
gene,/jEn/,#,0.286867,0.210669,0.171627,1.83,
gent,/jent/,#,0.350235,1.874069,0.278118,1.96,
germs,/jurms/,REG,0.091242,0.480635,0.140107,1.67,
get,/get/,HFRIC,0.101179,0.004362,0.025518,1.67,
ghost,/gOst/,STR,0.026924,0.027353,0.046224,1.81,
ghoul,/gUl/,#,0.113580,0.258763,0.075006,1.97,
gibe,/jIb/,#,0.326685,1.367226,0.180844,1.97,
gift,/gift/,CON,0.017565,0.013170,0.009596,1.62,
gig,/gig/,#,0.101794,0.134806,0.125755,1.77,
gill,/gil/,#,0.060069,0.090336,0.025306,1.9,
gilt,/gilt/,#,0.163515,0.007037,0.013988,1.98,
gin,/jin/,#,0.115858,0.073058,0.078306,1.68,
gird,/gurd/,#,0.005780,0.004149,0.029129,1.64,
girl,/gurl/,HFRIC,0.017854,0.004011,0.021667,1.83,
girth,/gurT/,#,0.055638,0.065540,0.003517,1.74,
gist,/jist/,#,0.932070,0.788529,0.385270,2.07,
git,/git/,#,0.129423,0.060923,0.065399,1.7,
give,/giv/,HFE,0.060708,0.006064,0.016599,1.75,
glad,/gl@d/,#,0.000858,0.000358,0.002124,1.71,
glade,/glAd/,#,0.041297,0.003867,0.011780,1.79,
glance,/gl@ns/,#,0.042670,0.019487,0.012870,1.83,
gland,/gl@nd/,#,0.000833,0.005166,0.009545,1.72,
glare,/glAr/,#,0.033914,0.050918,0.005457,1.81,
glass,/gl@s/,#,0.006053,0.001392,0.000741,1.6,
glaze,/glAz/,#,0.045780,0.021320,0.015800,1.78,
gleam,/glEm/,#,0.007173,0.052922,0.035204,1.61,
glean,/glEn/,#,0.028746,0.017575,0.006628,1.86,
glee,/glE/,#,0.028509,0.023654,0.018903,1.61,
glen,/glen/,#,0.027699,0.017016,0.025146,1.92,
glib,/glib/,#,0.083796,0.029997,0.048019,1.71,
glide,/glId/,#,0.035999,0.014092,0.007585,1.74,
glimpse,/glimps/,#,0.054439,0.041174,0.048393,1.75,
glint,/glint/,#,0.020821,0.170216,0.055276,1.76,
glitch,/gliC/,#,0.007165,0.036971,0.046067,1.91,
gloat,/glOt/,#,0.001581,0.008280,0.003204,1.63,
globe,/glOb/,#,0.025383,0.064589,0.019019,1.8,
gloom,/glUm/,#,0.026145,0.005032,0.020496,1.77,
gloss,/glos/,#,0.132078,0.072358,0.079078,1.85,
glove,/gl^v/,#,0.043798,0.055500,0.004236,1.96,
glow,/glO/,#,0.042583,0.009215,0.008731,1.78,
glue,/glU/,#,0.005282,0.009325,0.010576,1.7,
glum,/gl^m/,#,0.018804,0.004044,0.001185,1.55,
gnaw,/no/,#,0.056731,0.093999,0.024198,1.64,
gnome,/nOm/,#,0.016450,0.057476,0.012249,1.73,
go,/gO/,HRI,0.103129,0.002555,0.010794,1.76,
goad,/gOd/,#,0.001663,0.004009,0.000732,1.61,
goal,/gOl/,#,0.004982,0.001689,0.005379,1.63,
goat,/gOt/,#,0.002274,0.007965,0.000192,1.57,
gob,/gab/,#,0.041472,0.062708,0.053334,2.1,
god,/gad/,#,0.049531,0.002350,0.003976,1.79,
goes,/gOz/,HRI,0.016895,0.006264,0.014607,1.7,
gold,/gOld/,HFRIC,0.019278,0.012803,0.006860,1.73,
golf,/golf/,EXPT,0.032274,0.020429,0.036126,1.92,
gone,/gon/,#,0.109811,0.017129,0.036784,1.87,
gong,/goN/,LRIC,0.025902,0.040062,0.029091,1.62,
good,/gud/,#,0.025019,0.001748,0.006032,1.78,
goon,/gUn/,#,0.056165,0.083227,0.102432,1.98,
goose,/gUs/,#,0.041388,0.050224,0.030820,2.08,
gore,/gOr/,#,0.008287,0.001779,0.003272,1.75,
gorge,/gOrj/,#,0.011568,0.015126,0.060433,3.5,
gosh,/gaS/,#,0.042526,0.114000,0.073110,2.05,
got,/gat/,HEC,0.043986,0.001091,0.008580,1.68,
gouge,/gWj/,#,0.701843,0.580558,0.307147,3.28,
gourd,/gOrd/,#,0.208027,0.293017,0.118538,2.29,
gout,/gWt/,#,0.049909,0.026258,0.001212,1.66,
gown,/gWn/,AMB,0.190545,0.135861,0.135403,2.1,
grab,/gr@b/,#,0.001343,0.003786,0.001576,1.74,
grace,/grAs/,#,0.005840,0.004513,0.006592,1.69,
grad,/gr@d/,#,0.002749,0.000524,0.011295,1.71,
grade,/grAd/,#,0.011968,0.006075,0.001559,1.77,
graft,/gr@ft/,#,0.010504,0.001514,0.000482,1.54,
grail,/grAl/,#,0.004485,0.000665,0.001386,1.61,
grain,/grAn/,#,0.001804,0.001850,0.000953,1.63,
gram,/gr@m/,#,0.009054,0.010829,0.008398,1.55,
grand,/gr@nd/,#,0.004067,0.000523,0.001764,1.71,
grant,/gr@nt/,#,0.001614,0.005238,0.004137,1.59,
grape,/grAp/,LEC,0.008015,0.007047,0.006802,1.71,
graph,/gr@f/,#,0.040171,0.032320,0.031517,1.67,
grasp,/gr@sp/,#,0.002749,0.011439,0.008403,1.65,
grass,/gr@s/,#,0.002307,0.003816,0.001257,1.56,
grate,/grAt/,#,0.005272,0.001683,0.000355,1.7,
grave,/grAv/,#,0.003751,0.001804,0.003883,1.74,
gray,/grA/,#,0.000625,0.000499,0.000255,1.58,
grays,/grAz/,#,0.129594,0.057675,0.075936,1.68,
graze,/grAz/,#,0.023530,0.041194,0.010768,1.67,
grease,/grEs/,#,0.113946,0.124931,0.063213,1.86,
great,/grAt/,HFE,0.082118,0.002376,0.012375,1.67,
greed,/grEd/,REG,0.005867,0.017290,0.003557,1.69,
green,/grEn/,#,0.057715,0.006684,0.008250,1.69,
greet,/grEt/,#,0.020917,0.039802,0.002779,1.63,
grew,/grU/,#,0.009640,0.002727,0.007085,1.63,
grey,/grA/,#,0.012324,0.024998,0.006797,1.66,
grid,/grid/,#,0.063923,0.004963,0.010681,1.69,
grief,/grEf/,#,0.069944,0.078926,0.013267,1.75,
grill,/gril/,REG,0.000671,0.004008,0.000739,1.66,
grille,/gril/,#,0.080158,0.091223,0.037485,1.93,
grim,/grim/,#,0.001347,0.027748,0.011027,1.64,
grime,/grIm/,#,0.113641,0.057913,0.019854,1.73,
grin,/grin/,#,0.022733,0.003751,0.005244,1.79,
grind,/grInd/,#,0.150123,0.272722,0.171164,2.12,
grip,/grip/,#,0.003133,0.004225,0.003937,1.67,
gripe,/grIp/,#,0.061468,0.161233,0.064187,1.81,
grist,/grist/,#,0.006659,0.004770,0.007331,1.63,
grit,/grit/,#,0.007436,0.009031,0.000685,1.59,
groan,/grOn/,#,0.000312,0.001216,0.000804,1.57,
groat,/grOt/,#,0.001752,0.019445,0.021479,1.57,
groin,/grYn/,#,0.011345,0.022121,0.016017,2.24,
groom,/grUm/,#,0.009174,0.011436,0.014134,1.68,
groove,/grUv/,#,0.016239,0.103909,0.028075,1.97,
grope,/grOp/,#,0.002826,0.027980,0.054997,1.71,
gross,/grOs/,LFE,0.044193,0.009019,0.018634,1.77,
grouch,/grWC/,#,0.054179,0.128472,0.132507,2.14,
ground,/grWnd/,#,0.011944,0.001419,0.002716,1.8,
group,/grUp/,HEC,0.031685,0.002704,0.007805,1.77,
grouse,/grWs/,#,0.218697,0.238000,0.037220,1.94,
grout,/grWt/,#,0.045657,0.002179,0.003542,1.67,
grove,/grOv/,#,0.012756,0.016134,0.010034,1.77,
grow,/grO/,HRI,0.042387,0.016961,0.021284,1.67,
growl,/grWl/,#,0.084265,0.325496,0.067170,1.95,
grown,/grOn/,#,0.112491,0.037259,0.064458,1.83,
growth,/grOT/,#,0.031138,0.003826,0.012499,1.75,
grub,/gr^b/,#,0.014586,0.004042,0.024633,1.75,
grudge,/gr^j/,#,0.041888,0.054424,0.027408,1.86,
gruff,/gr^f/,#,0.008620,0.000920,0.000493,1.69,
grunt,/gr^nt/,#,0.031424,0.020262,0.012896,1.65,
guard,/gard/,#,0.027892,0.006833,0.004291,1.58,
guess,/ges/,#,0.024020,0.006023,0.010217,1.64,
guest,/gest/,#,0.036135,0.016583,0.008216,1.67,
guide,/gId/,#,0.032438,0.008569,0.010679,1.83,
guild,/gild/,#,0.081439,0.009935,0.017729,1.62,
guile,/gIl/,LSTR,0.028812,0.164595,0.088555,1.85,
guilt,/gilt/,#,0.014029,0.009783,0.001469,1.65,
guise,/gIz/,#,0.184988,0.216131,0.138761,2.1,
gulf,/g^lf/,UNQ,0.019878,0.004206,0.026018,1.7,
gull,/g^l/,LFRI,0.045202,0.067575,0.068960,1.76,
gulp,/g^lp/,#,0.054166,0.096228,0.059218,1.71,
gum,/g^m/,#,0.008485,0.003290,0.019446,1.68,
gun,/g^n/,#,0.024263,0.001926,0.010034,1.7,
gunk,/g^Nk/,#,0.143779,0.007407,0.025900,1.69,
gush,/g^S/,#,0.012407,0.027102,0.004056,1.86,
gust,/g^st/,#,0.001751,0.006631,0.009307,1.56,
gut,/g^t/,#,0.000395,0.005590,0.004001,1.56,
guy,/gI/,#,0.029578,0.007706,0.011120,1.63,
gym,/jim/,#,0.061856,0.062434,0.036458,1.74,
gyp,/jip/,#,0.079535,0.108136,0.087440,1.81,
hack,/h@k/,#,0.003026,0.001011,0.001696,1.56,
had,/h@d/,#,0.002498,0.000058,0.000225,1.66,
hag,/h@g/,#,0.004484,0.005864,0.013847,1.65,
hail,/hAl/,#,0.014497,0.003614,0.006566,1.72,
hair,/hAr/,#,0.012780,0.001394,0.004567,1.67,
hale,/hAl/,#,0.057102,0.049449,0.057938,1.9,
half,/h@f/,#,0.019600,0.004447,0.018154,1.75,
hall,/hol/,#,0.033488,0.001754,0.002511,1.69,
halt,/holt/,#,0.031348,0.154085,0.051468,1.83,
halve,/h@v/,#,0.105686,0.108235,0.110221,2.03,
ham,/h@m/,#,0.004381,0.003219,0.016601,1.58,
hand,/h@nd/,#,0.004333,0.000099,0.002582,1.58,
hang,/h@N/,#,0.007822,0.006512,0.004678,1.58,
hank,/h@Nk/,#,0.024890,0.011960,0.003201,1.54,
hard,/hard/,#,0.006468,0.001020,0.010366,1.61,
hare,/hAr/,#,0.210207,0.930896,0.322093,2.41,
hark,/hark/,#,0.005237,0.007090,0.002963,1.73,
harm,/harm/,LFRI,0.029338,0.007436,0.002154,1.58,
harp,/harp/,#,0.032535,0.005851,0.021354,1.77,
harsh,/harS/,#,0.057552,0.017868,0.018337,1.93,
hart,/hart/,#,0.006130,0.000642,0.004796,1.57,
has,/h@z/,#,0.025519,0.000742,0.007295,1.79,
hash,/h@S/,#,0.049682,0.003028,0.001512,1.6,
hasp,/h@sp/,#,0.251695,0.462078,0.086236,2.71,
haste,/hAst/,#,0.122574,0.048916,0.017057,2.19,
hat,/h@t/,#,0.007103,0.000698,0.004884,1.62,
hatch,/h@C/,#,0.046076,0.028541,0.027146,1.7,
hate,/hAt/,#,0.002074,0.000332,0.003835,1.73,
hath,/h@T/,#,0.020529,0.000941,0.004960,1.76,
haul,/hol/,#,0.030125,0.007773,0.003363,1.72,
haunt,/hont/,#,0.045061,0.183457,0.209288,1.95,
have,/h@v/,HFE,0.065375,0.000457,0.007122,1.79,
haw,/ho/,#,0.000735,0.000573,0.000406,1.5,
hawk,/hok/,#,0.008366,0.022926,0.015951,1.65,
hay,/hA/,#,0.012778,0.004575,0.018108,1.63,
haze,/hAz/,#,0.007403,0.003781,0.006042,1.9,
head,/hed/,#,0.066563,0.003053,0.012378,1.67,
heal,/hEl/,#,0.093917,0.043325,0.045621,1.76,
health,/helT/,CON,0.021179,0.006153,0.009192,1.72,
heap,/hEp/,#,0.033318,0.024504,0.012169,1.88,
hear,/hEr/,#,0.038270,0.005531,0.023227,1.83,
heard,/hurd/,#,0.051406,0.003691,0.018769,1.78,
hearse,/hurs/,#,0.401864,0.665598,0.399289,2.6,
heart,/hart/,UNQ,0.086335,0.010663,0.008635,1.81,
hearth,/harT/,#,0.208516,0.138123,0.151635,2.15,
heat,/hEt/,#,0.061403,0.003821,0.003277,1.77,
heave,/hEv/,#,0.008585,0.005933,0.004549,1.72,
heck,/hek/,#,0.038590,0.000898,0.005451,1.62,
hedge,/hej/,#,0.013250,0.005237,0.015732,1.77,
heed,/hEd/,#,0.003803,0.002646,0.003637,1.66,
heel,/hEl/,#,0.004001,0.000778,0.002941,1.68,
height,/hIt/,EXPT,0.112071,0.035884,0.040030,1.63,
heir,/Ar/,STR,0.179072,0.056941,0.020076,1.8,
held,/held/,#,0.001292,0.000214,0.001658,1.53,
hell,/hel/,#,0.002136,0.000035,0.000953,1.69,
helm,/helm/,#,0.002681,0.000823,0.021922,1.57,
help,/help/,HFRIC,0.003630,0.002392,0.007569,1.76,
hem,/hem/,#,0.004810,0.000091,0.014468,1.6,
hen,/hen/,#,0.002356,0.000225,0.001508,1.59,
hence,/hens/,#,0.026716,0.008856,0.020791,1.76,
her,/hur/,#,0.034875,0.000451,0.002947,1.68,
herb,/urb/,#,0.059369,0.113949,0.070640,2,
herd,/hurd/,#,0.021392,0.005188,0.000798,1.68,
here,/hEr/,HRI,0.110374,0.003252,0.023492,1.88,
hers,/hurs/,#,0.011683,0.000903,0.009061,1.81,
hex,/heks/,#,0.032243,0.045027,0.035660,2.07,
hey,/hA/,#,0.053682,0.016986,0.030057,1.72,
hick,/hik/,#,0.004436,0.008415,0.003314,1.75,
hid,/hid/,#,0.025700,0.012126,0.024151,1.77,
hide,/hId/,LRIC,0.002210,0.000822,0.002706,1.74,
high,/hI/,HFRIC,0.002306,0.000936,0.001382,1.61,
hike,/hIk/,LRIC,0.020358,0.034081,0.041794,1.79,
hill,/hil/,#,0.004978,0.000148,0.002894,1.62,
hilt,/hilt/,#,0.001384,0.019904,0.006875,1.66,
him,/him/,HEC,0.000720,0.000133,0.001332,1.57,
hind,/hInd/,#,0.046725,0.006086,0.034594,1.73,
hinge,/hinj/,#,0.087282,0.350330,0.097969,2,
hint,/hint/,#,0.043648,0.023818,0.015749,1.78,
hip,/hip/,#,0.007993,0.000762,0.002863,1.73,
hire,/hIr/,#,0.007667,0.008476,0.007954,1.83,
his,/hiz/,#,0.026094,0.000167,0.002216,1.81,
hiss,/his/,#,0.018688,0.066253,0.009680,1.74,
hit,/hit/,#,0.003493,0.000934,0.004764,1.73,
hitch,/hiC/,#,0.008521,0.003809,0.010403,1.73,
hive,/hIv/,#,0.045985,0.269755,0.098502,1.86,
hoarse,/hOrs/,#,0.009287,0.008096,0.011986,1.71,
hob,/hab/,#,0.014638,0.033052,0.034073,2.1,
hoc,/hak/,#,0.068648,0.050034,0.060776,2.06,
hoe,/hO/,LFRI,0.135954,0.007286,0.014664,1.69,
hog,/hog/,#,0.091836,0.044152,0.014171,1.88,
hoist,/hYst/,#,0.113944,0.075226,0.149832,1.91,
hold,/hOld/,#,0.020885,0.001534,0.008779,1.66,
hole,/hOl/,#,0.000684,0.001203,0.003706,1.75,
home,/hOm/,HRI,0.004933,0.001349,0.005023,1.63,
hone,/hOn/,#,0.013136,0.154336,0.120095,1.84,
hooch,/hUC/,#,0.085097,0.098957,0.092684,2.56,
hood,/hud/,#,0.139093,0.133001,0.083693,2.01,
hoof,/huf/,#,0.120837,0.293620,0.140006,3.05,
hook,/huk/,#,0.006674,0.011985,0.007811,1.72,
hoop,/hUp/,#,0.052613,0.007590,0.004226,1.65,
hoot,/hUt/,#,0.130393,0.101517,0.047801,1.87,
hop,/hap/,#,0.001202,0.001071,0.001568,1.84,
hope,/hOp/,#,0.006933,0.002603,0.003783,1.7,
hops,/haps/,#,0.150811,0.300675,0.126672,3.31,
horn,/hOrn/,#,0.032036,0.006418,0.006911,1.64,
horse,/hOrs/,HSTR,0.032553,0.001471,0.011767,1.8,
hose,/hOz/,#,0.023727,0.027906,0.006027,2.01,
host,/hOst/,#,0.125268,0.011909,0.028505,1.96,
hot,/hat/,#,0.066036,0.001892,0.014370,1.78,
hound,/hWnd/,#,0.024089,0.004616,0.021743,1.72,
hour,/Wr/,#,0.030702,0.004771,0.018067,1.64,
house,/hWs/,homg,1.356393,1.381411,1.391550,2.76,
*house,/hWz/,homg,1.445374,1.421088,1.419612,2.76,
how,/hW/,#,0.004522,0.001088,0.006693,1.58,
howl,/hWl/,#,0.027293,0.006574,0.011206,1.66,
hub,/h^b/,#,0.025049,0.022992,0.041829,1.8,
huck,/h^k/,#,0.001425,0.001955,0.018430,1.81,
hue,/hyU/,REG,0.020672,0.133907,0.041080,1.58,
huff,/h^f/,#,0.019501,0.010810,0.004433,1.78,
hug,/h^g/,#,0.009325,0.001000,0.005652,1.75,
huge,/hyUj/,#,0.104336,0.020888,0.026058,1.87,
huh,/h^/,#,0.059400,0.037542,0.029493,1.81,
hulk,/h^lk/,#,0.030196,0.113795,0.039104,2.09,
hull,/h^l/,#,0.025925,0.016464,0.029220,1.69,
hum,/h^m/,#,0.006270,0.014234,0.001140,1.71,
hump,/h^mp/,#,0.003519,0.001740,0.002259,1.72,
hunch,/h^nC/,#,0.023949,0.012442,0.007240,1.94,
hung,/h^N/,#,0.008162,0.003367,0.007106,1.78,
hunk,/h^Nk/,#,0.027659,0.013731,0.004290,1.8,
hunt,/h^nt/,REG,0.025806,0.005603,0.002064,1.79,
hurl,/hurl/,#,0.079609,0.009826,0.031907,1.82,
hurt,/hurt/,#,0.028746,0.004597,0.006910,1.86,
hush,/h^S/,#,0.025538,0.009209,0.029521,1.78,
hut,/h^t/,#,0.005492,0.004757,0.036614,1.73,
hymn,/him/,#,0.039675,0.037089,0.039010,1.73,
ice,/Is/,#,0.015034,0.008174,0.021959,1.88,
ill,/il/,#,0.003995,0.000067,0.000278,1.57,
inch,/inC/,#,0.030188,0.001981,0.002683,1.73,
ink,/iNk/,#,0.008896,0.001974,0.000965,1.67,
inn,/in/,#,0.004929,0.003984,0.001444,1.57,
ire,/Ir/,#,0.044125,0.111211,0.032826,1.72,
isle,/Il/,#,0.015314,0.021414,0.013863,1.96,
itch,/iC/,#,0.002215,0.000520,0.000525,1.76,
its,/its/,#,0.021058,0.000638,0.005653,1.89,
jab,/j@b/,#,0.020905,0.009075,0.004351,1.65,
jack,/j@k/,#,0.005923,0.002294,0.003981,1.53,
jade,/jAd/,#,0.168687,0.246209,0.036957,1.83,
jag,/j@g/,#,0.012431,0.012124,0.052140,1.65,
jail,/jAl/,#,0.003842,0.002889,0.001528,1.62,
jam,/j@m/,#,0.067608,0.031647,0.016028,1.52,
jape,/jAp/,#,0.006272,0.081991,0.019484,1.71,
jar,/jar/,#,0.018410,0.018294,0.009245,1.64,
jaw,/jo/,#,0.006718,0.014286,0.005530,1.59,
jay,/jA/,#,0.001216,0.001291,0.000762,1.54,
jays,/jAz/,RI,0.082401,0.008022,0.000549,1.62,
jazz,/j@z/,HSTR,0.006588,0.001143,0.004309,1.75,
jean,/jEn/,#,0.002488,0.006911,0.003500,1.6,
jeans,/jEnz/,#,0.115372,0.083286,0.029571,1.57,
jeep,/jEp/,#,0.000804,0.001323,0.005794,1.5,
jeer,/jEr/,#,0.005502,0.011100,0.003604,1.58,
jell,/jel/,#,0.001019,0.000337,0.000633,1.58,
jerk,/jurk/,#,0.004251,0.003294,0.004620,1.6,
jest,/jest/,REG,0.014979,0.002795,0.001864,1.56,
jet,/jet/,#,0.004577,0.001200,0.001411,1.56,
jew,/jU/,#,0.025007,0.004331,0.006536,1.63,
jig,/jig/,#,0.013017,0.014319,0.005585,1.6,
jilt,/jilt/,#,0.006723,0.029675,0.018078,1.68,
jinx,/jiNks/,#,0.148044,0.187560,0.061037,1.81,
jive,/jIv/,#,0.103550,0.302188,0.037180,1.83,
job,/jab/,#,0.006377,0.001460,0.003364,1.84,
jock,/jak/,#,0.036050,0.019619,0.001066,1.65,
jog,/jag/,#,0.225876,0.185391,0.102865,1.99,
join,/jYn/,#,0.012763,0.002211,0.004285,1.71,
joint,/jYnt/,#,0.018529,0.008867,0.004079,1.73,
joke,/jOk/,#,0.021826,0.006221,0.016701,1.72,
jolt,/jOlt/,#,0.063173,0.048243,0.040631,1.75,
jot,/jat/,#,0.009339,0.006530,0.003295,1.66,
joust,/jWst/,#,0.079653,0.120934,0.052382,1.64,
jowl,/jWl/,#,0.065869,0.046898,0.045814,1.8,
joy,/jY/,#,0.011357,0.003970,0.000819,1.81,
judge,/j^j/,LSTR,0.036375,0.006510,0.010747,1.8,
jug,/j^g/,#,0.010432,0.004338,0.007550,1.63,
juice,/jUs/,#,0.047187,0.036306,0.026029,1.78,
juke,/jUk/,#,0.111845,0.024779,0.018518,1.84,
jump,/j^mp/,#,0.007963,0.006184,0.002039,1.59,
june,/jUn/,#,0.026499,0.003387,0.012031,1.71,
junk,/j^Nk/,#,0.003711,0.003171,0.001447,1.58,
just,/j^st/,#,0.006762,0.000397,0.002128,1.52,
jut,/j^t/,#,0.021899,0.023034,0.024040,1.65,
jute,/jUt/,#,0.016041,0.031382,0.053245,1.9,
kale,/kAl/,#,0.018024,0.104665,0.041537,1.98,
keel,/kEl/,#,0.000945,0.002979,0.001608,1.74,
keen,/kEn/,#,0.006123,0.001793,0.000919,1.77,
keep,/kEp/,#,0.004042,0.000371,0.002499,1.68,
keg,/keg/,#,0.060873,0.086511,0.053500,1.81,
kelp,/kelp/,#,0.029962,0.098762,0.036324,1.85,
ken,/ken/,#,0.017304,0.023369,0.014412,1.92,
kept,/kept/,HSTR,0.008662,0.000791,0.004037,1.72,
key,/kE/,LSTR,0.027876,0.005316,0.011631,1.68,
kick,/kik/,#,0.001870,0.013362,0.003781,1.78,
kid,/kid/,#,0.019977,0.007215,0.026898,1.71,
kill,/kil/,#,0.004981,0.001615,0.003289,1.65,
kilt,/kilt/,#,0.003566,0.133796,0.003506,1.99,
kin,/kin/,#,0.023801,0.027642,0.011547,1.67,
kind,/kInd/,#,0.019245,0.003708,0.010493,1.69,
king,/kiN/,#,0.009343,0.004213,0.005334,1.67,
kiss,/kis/,#,0.000530,0.001587,0.001132,1.7,
kit,/kit/,#,0.002229,0.001747,0.001978,3.26,
kite,/kIt/,#,0.026633,0.074270,0.042478,1.84,
klan,/kl@n/,#,0.001470,0.007255,0.001814,1.77,
knack,/n@k/,#,0.004172,0.051367,0.019675,1.61,
knead,/nEd/,#,0.025710,0.003941,0.011962,1.64,
knee,/nE/,#,0.000395,0.001270,0.000280,1.55,
kneel,/nEl/,#,0.006279,0.009308,0.005013,1.67,
knelt,/nelt/,#,0.005606,0.011007,0.003563,1.71,
knew,/nU/,#,0.011624,0.000459,0.001927,1.73,
knife,/nIf/,STR,0.019579,0.002841,0.004844,1.77,
knight,/nIt/,#,0.004506,0.001298,0.001005,1.63,
knit,/nit/,#,0.037842,0.025682,0.016402,1.77,
knob,/nab/,#,0.047928,0.181203,0.043697,1.89,
knock,/nak/,#,0.015588,0.002606,0.005826,1.59,
knoll,/nOl/,#,0.031887,0.045149,0.045116,1.65,
knot,/nat/,#,0.008136,0.001327,0.009145,1.69,
know,/nO/,#,0.010395,0.000640,0.003986,1.57,
known,/nOn/,#,0.010285,0.001343,0.006650,1.55,
lab,/l@b/,#,0.005151,0.006187,0.019469,1.76,
lace,/lAs/,#,0.055235,0.059364,0.019980,1.93,
lack,/l@k/,#,0.001574,0.000710,0.001554,1.58,
lad,/l@d/,#,0.001056,0.000340,0.001699,1.66,
lag,/l@g/,#,0.005622,0.001121,0.010802,1.69,
laid,/lAd/,#,0.080852,0.019171,0.044125,1.71,
lain,/lAn/,#,0.002381,0.000148,0.001228,1.61,
lake,/lAk/,#,0.007935,0.002731,0.001931,1.76,
lamb,/l@m/,#,0.002836,0.018411,0.023254,1.68,
lame,/lAm/,#,0.005078,0.001039,0.004322,1.59,
lamp,/l@mp/,#,0.002830,0.003446,0.001945,1.57,
lance,/l@ns/,REG,0.015411,0.006120,0.001032,1.7,
land,/l@nd/,#,0.003260,0.000079,0.000863,1.58,
lane,/lAn/,#,0.018079,0.013775,0.024229,1.8,
lap,/l@p/,#,0.003537,0.000451,0.002544,1.59,
laps,/l@ps/,#,0.046508,0.091569,0.029434,1.86,
lapse,/l@ps/,#,0.024745,0.051148,0.022661,1.9,
lard,/lard/,#,0.015695,0.031152,0.006711,1.68,
large,/larj/,#,0.012908,0.001928,0.006410,1.79,
lark,/lark/,#,0.007483,0.001550,0.000462,1.66,
lash,/l@S/,LFRI,0.004648,0.005299,0.002844,1.67,
lass,/l@s/,#,0.001311,0.000381,0.002301,1.63,
last,/l@st/,#,0.004187,0.000454,0.003622,1.66,
latch,/l@C/,#,0.026997,0.003665,0.006091,1.82,
late,/lAt/,#,0.002720,0.001014,0.004877,1.84,
lath,/l@T/,#,0.007252,0.005073,0.019433,1.88,
lathe,/lAD/,#,0.076406,0.239791,0.042036,2.16,
laugh,/l@f/,#,0.105561,0.031882,0.042163,1.93,
launch,/lonC/,#,0.057691,0.076502,0.025803,2.03,
law,/lo/,#,0.000309,0.000088,0.000270,1.52,
lawn,/lon/,#,0.002920,0.000948,0.001265,1.52,
lax,/l@ks/,#,0.008655,0.026725,0.008892,1.75,
lay,/lA/,#,0.000916,0.000134,0.000605,1.55,
